Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
164262,00000426,false,Rx,0,8,00,10,02,01,04,16,00,40,
165622,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
167292,000004F7,false,Rx,0,8,00,1F,08,00,B0,48,06,F0,
167301,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
169423,00000157,false,Rx,0,7,D5,46,09,C4,00,00,00,00,
172329,00000428,false,Rx,0,8,00,00,00,7F,00,00,00,00,
172338,0000042F,false,Rx,0,2,00,20,00,00,00,00,00,00,
173468,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
173619,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
173882,0000019F,false,Rx,0,8,00,00,7D,06,00,6A,88,4E,
174040,000001A1,false,Rx,0,6,00,05,8A,26,00,00,00,00,
174283,00000436,false,Rx,0,6,00,2F,08,B1,FF,DC,00,00,
177148,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
177513,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
178257,00000157,false,Rx,0,7,D5,96,09,C4,00,00,00,00,
183506,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
183571,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
183867,0000019F,false,Rx,0,8,00,00,7D,0B,00,6A,88,4E,
184045,000001A1,false,Rx,0,6,00,05,8A,26,00,00,00,00,
186425,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
187241,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
189109,00000157,false,Rx,0,7,D5,E6,09,C4,00,00,00,00,
193527,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
193590,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
193899,0000019F,false,Rx,0,8,00,00,7D,00,00,6A,88,4E,
194058,000001A1,false,Rx,0,6,00,05,8A,26,00,00,00,00,
195424,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
197154,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
198363,00000157,false,Rx,0,7,D5,36,09,C4,00,00,00,00,
203406,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
203582,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
203838,0000019F,false,Rx,0,8,00,00,7D,05,00,6A,88,4E,
204013,000001A1,false,Rx,0,6,00,05,8A,26,00,00,00,00,
204379,00000422,false,Rx,0,8,00,00,3B,4F,00,A8,01,3B,
204393,0000042C,false,Rx,0,5,00,00,3F,40,DB,00,00,00,
204677,00000511,false,Rx,0,7,04,41,F5,BD,47,37,60,00,
206995,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
207210,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
209037,00000157,false,Rx,0,7,D5,86,09,C4,00,00,00,00,
213346,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
213537,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
213763,0000019F,false,Rx,0,8,00,00,7D,0A,00,6A,88,4E,
213966,000001A1,false,Rx,0,6,00,05,8A,26,00,00,00,00,
216086,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
216985,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
218237,00000157,false,Rx,0,7,D5,D6,09,C4,00,00,00,00,
223337,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
223562,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
223789,0000019F,false,Rx,0,8,00,00,7D,0F,00,6A,88,4E,
223991,000001A1,false,Rx,0,6,00,05,8A,26,00,00,00,00,
224984,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
225984,00000424,false,Rx,0,8,11,40,02,10,3D,64,55,3E,
226208,00000425,false,Rx,0,8,11,BB,44,9C,42,1A,CD,0C,
226385,000004AF,false,Rx,0,5,65,3B,4B,3A,40,00,00,00,
226988,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
229084,00000157,false,Rx,0,7,D5,26,09,C4,00,00,00,00,
233309,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
233554,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
233807,0000019F,false,Rx,0,8,00,00,7D,04,00,6A,88,4E,
234009,000001A1,false,Rx,0,6,00,05,8A,26,00,00,00,00,
236884,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
237061,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
238259,00000157,false,Rx,0,7,D5,76,09,C4,00,00,00,00,
238486,00000423,false,Rx,0,8,07,1E,FF,FD,B2,A0,B2,C1,
243336,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
243536,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
243788,0000019F,false,Rx,0,8,00,00,7D,09,00,6A,88,4E,
243965,000001A1,false,Rx,0,6,00,05,8A,26,00,00,00,00,
245811,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
246984,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
249135,00000157,false,Rx,0,7,D5,C6,09,C4,00,00,00,00,
253311,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
253535,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
253764,0000019F,false,Rx,0,8,00,00,7D,0E,00,6A,88,4E,
253965,000001A1,false,Rx,0,6,00,05,8A,26,00,00,00,00,
254142,00000435,false,Rx,0,4,FF,FF,1E,00,00,00,00,00,
254740,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
256982,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
258254,00000157,false,Rx,0,7,D5,16,09,C4,00,00,00,00,
263313,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
263532,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
263757,0000019F,false,Rx,0,8,00,00,7D,03,00,6A,88,4E,
263958,000001A1,false,Rx,0,6,00,05,8A,26,00,00,00,00,
264225,00000426,false,Rx,0,8,00,10,02,01,04,16,00,40,
266620,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
267071,000004F7,false,Rx,0,8,00,1F,08,00,B0,48,06,F0,
267243,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
269099,00000157,false,Rx,0,7,D5,66,09,C4,00,00,00,00,
272095,00000428,false,Rx,0,8,00,00,00,7F,00,00,00,00,
272208,0000042F,false,Rx,0,2,00,20,00,00,00,00,00,00,
273360,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
273586,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
273839,0000019F,false,Rx,0,8,00,00,7D,08,00,6A,88,4E,
274042,000001A1,false,Rx,0,6,00,05,8A,26,00,00,00,00,
274234,00000436,false,Rx,0,6,00,2F,08,B1,FF,DC,00,00,
275542,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
276996,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
278272,00000157,false,Rx,0,7,D5,B6,09,C4,00,00,00,00,
283361,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
283607,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
283830,0000019F,false,Rx,0,8,00,00,7D,0D,00,6A,88,4E,
284026,000001A1,false,Rx,0,6,00,05,8A,26,00,00,00,00,
284460,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
286999,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
289020,00000157,false,Rx,0,7,D5,06,09,C4,00,00,00,00,
293319,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
293521,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
293773,0000019F,false,Rx,0,8,00,00,7D,02,00,6A,88,4E,
293975,000001A1,false,Rx,0,6,00,05,88,26,00,00,00,00,
296360,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
297007,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
298210,00000157,false,Rx,0,7,D5,56,09,C4,00,00,00,00,
303321,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
303521,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
303774,0000019F,false,Rx,0,8,00,00,7D,07,00,6A,88,4E,
303975,000001A1,false,Rx,0,6,00,05,88,26,00,00,00,00,
304218,00000422,false,Rx,0,8,00,00,3B,4F,00,A8,01,3B,
304397,0000042C,false,Rx,0,5,00,00,3F,40,DB,00,00,00,
304598,00000511,false,Rx,0,7,04,80,BE,76,B2,44,43,00,
305266,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
306967,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
309069,00000157,false,Rx,0,7,D5,A6,09,C4,00,00,00,00,
313359,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
313575,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
313822,0000019F,false,Rx,0,8,00,00,7D,0C,00,6A,88,4E,
314018,000001A1,false,Rx,0,6,00,05,88,26,00,00,00,00,
314252,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
316955,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
318279,00000157,false,Rx,0,7,D5,F6,09,C4,00,00,00,00,
323374,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
323624,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
