Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2159023,000001A1,false,Rx,0,8,B2,8B,34,34,79,0C,80,20,
2163398,00000428,false,Rx,0,8,00,00,00,7F,00,00,8F,00,
2163797,00000423,false,Rx,0,8,07,1D,00,02,B2,20,B2,D8,
2164045,0000019F,false,Rx,0,8,00,00,7D,08,00,6A,90,FE,
2167948,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CB,
2168317,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2168820,00000157,false,Rx,0,8,D5,87,09,C4,FF,E0,BE,80,
2169041,000001A1,false,Rx,0,8,B2,4B,34,34,49,0C,80,20,
2169290,00000426,false,Rx,0,8,00,A0,01,00,4B,C8,00,80,
2173921,0000019F,false,Rx,0,8,00,00,7D,0D,00,6A,90,FE,
2177974,00000155,false,Rx,0,8,0A,87,F1,54,98,48,02,CA,
2178342,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2178883,00000157,false,Rx,0,8,D5,D7,09,C4,FF,E0,BE,80,
2179092,000001A1,false,Rx,0,8,B2,8B,18,34,49,0C,80,20,
2183820,00000435,false,Rx,0,8,FF,FF,1E,6A,3B,10,00,00,
2184065,0000019F,false,Rx,0,8,00,00,7D,02,00,6A,90,FE,
2187945,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CB,
2188240,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2188818,00000157,false,Rx,0,8,D5,27,09,C4,FF,E0,BE,80,
2189041,000001A1,false,Rx,0,8,B2,8B,34,34,79,0C,80,20,
2189238,00000436,false,Rx,0,6,86,14,AB,03,FF,DC,00,00,
2193249,0000042F,false,Rx,0,2,32,20,00,00,00,00,00,00,
2193955,0000019F,false,Rx,0,8,00,00,7D,07,00,6A,90,FE,
2194220,00000511,false,Rx,0,7,04,12,7D,D4,81,F7,32,00,
2197954,00000155,false,Rx,0,8,0A,87,F1,54,98,48,02,CA,
2198270,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2198922,00000157,false,Rx,0,8,D5,77,09,C4,FF,E0,BE,80,
2199144,000001A1,false,Rx,0,8,B2,8B,3C,34,89,0C,80,20,
2203919,0000019F,false,Rx,0,8,00,00,7D,0C,00,6A,90,FE,
2207919,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CB,
2208239,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2208792,00000157,false,Rx,0,8,D5,C7,09,C4,FF,E0,BE,80,
2209014,000001A1,false,Rx,0,8,B2,8B,3C,34,99,0C,80,20,
2213918,0000019F,false,Rx,0,8,00,00,7D,01,00,6A,90,FE,
2217917,00000155,false,Rx,0,8,0A,87,F1,54,98,48,02,CA,
2218139,00000424,false,Rx,0,8,11,40,56,C8,3F,5E,AA,40,
2218311,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2218535,00000425,false,Rx,0,8,0A,D2,44,9C,3E,22,FD,10,
2218866,00000157,false,Rx,0,8,D5,17,09,C4,FF,E0,BE,80,
2219115,000001A1,false,Rx,0,8,B2,CB,38,34,99,0C,80,20,
2223942,0000019F,false,Rx,0,8,00,00,7D,06,00,6A,90,FE,
2227916,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CB,
2228262,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2228865,00000157,false,Rx,0,8,D5,67,09,C4,FF,E0,BE,80,
2229085,000001A1,false,Rx,0,8,B2,CB,34,34,99,0C,80,20,
2233914,0000019F,false,Rx,0,8,00,00,7D,0B,00,6A,90,FE,
2237913,00000155,false,Rx,0,8,0A,87,F1,54,98,48,02,CA,
2238260,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2238845,00000157,false,Rx,0,8,D5,B7,09,C4,FF,E0,BE,80,
2239091,000001A1,false,Rx,0,8,B2,8B,3C,34,89,0C,80,20,
2243339,000004F7,false,Rx,0,8,00,3C,0C,22,28,B8,06,F0,
2243912,0000019F,false,Rx,0,8,00,00,7D,00,00,6A,90,FE,
2244184,00000419,false,Rx,0,6,5E,09,2A,E6,7E,00,00,00,
2247911,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CB,
2248258,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2248786,00000157,false,Rx,0,8,D5,07,09,C4,FF,E0,BE,80,
2249033,000001A1,false,Rx,0,8,B2,4B,3E,34,99,0C,80,20,
2253610,00000445,false,Rx,0,7,80,55,AA,65,04,82,00,00,
2253932,0000019F,false,Rx,0,8,00,00,7D,05,00,6A,90,FE,
2257942,00000155,false,Rx,0,8,0A,87,F1,54,98,48,02,CA,
2258285,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2258787,00000157,false,Rx,0,8,D5,57,09,C4,FF,E0,BE,80,
2259034,000001A1,false,Rx,0,8,B2,8B,3C,34,99,0C,80,20,
2263362,00000428,false,Rx,0,8,00,00,00,7F,00,00,8F,00,
2263711,00000423,false,Rx,0,8,07,1D,00,02,B2,20,B2,D8,
2263958,0000019F,false,Rx,0,8,00,00,7D,0A,00,6A,90,FE,
2267989,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CA,
2268283,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2268813,00000157,false,Rx,0,8,D5,A7,09,C4,FF,E0,BE,80,
2269034,000001A1,false,Rx,0,8,B2,8B,3C,34,99,0C,80,20,
2269281,00000426,false,Rx,0,8,00,A0,01,00,4B,C8,00,80,
2273916,0000019F,false,Rx,0,8,00,00,7D,0F,00,6A,90,FE,
2277936,00000155,false,Rx,0,8,0A,87,F1,54,98,48,02,CA,
2278281,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2278809,00000157,false,Rx,0,8,D5,F7,09,C4,FF,E0,BE,80,
2279055,000001A1,false,Rx,0,8,B2,8B,42,34,99,0C,80,20,
2283812,00000435,false,Rx,0,8,FF,FF,1E,6A,3B,10,00,00,
2284057,0000019F,false,Rx,0,8,00,00,7D,04,00,6A,90,FE,
2287984,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CB,
2288281,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2288822,00000157,false,Rx,0,8,D5,47,09,C4,FF,E0,BE,80,
2289031,000001A1,false,Rx,0,8,B2,8B,3E,34,A9,0C,80,20,
2289228,00000436,false,Rx,0,6,86,14,AB,03,FF,DC,00,00,
2293262,0000042F,false,Rx,0,2,32,20,00,00,00,00,00,00,
2293908,0000019F,false,Rx,0,8,00,00,7D,09,00,6A,90,FE,
2294180,00000511,false,Rx,0,7,04,51,46,8D,EC,04,15,00,
2297935,00000155,false,Rx,0,8,0A,87,F1,54,98,48,02,CD,
2298281,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2298806,00000157,false,Rx,0,8,D5,97,09,C4,FF,E0,BE,80,
2299029,000001A1,false,Rx,0,8,B2,8B,6A,34,99,0C,80,20,
2303920,0000019F,false,Rx,0,8,00,00,7D,0E,00,6A,90,FE,
2307913,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CB,
2308304,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2308757,00000157,false,Rx,0,8,D5,E7,09,C4,FF,E0,BE,80,
2309003,000001A1,false,Rx,0,8,B2,8B,78,34,99,0C,80,20,
2313908,0000019F,false,Rx,0,8,00,00,7D,03,00,6A,90,FE,
2317893,00000155,false,Rx,0,8,0A,87,F1,54,98,48,02,CA,
2318134,00000424,false,Rx,0,8,11,40,56,C8,3F,5E,AA,40,
2318357,00000425,false,Rx,0,8,0A,D2,44,9C,3E,22,FD,10,
2318524,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2318887,00000157,false,Rx,0,8,D5,37,09,C4,FF,E0,BE,80,
2319107,000001A1,false,Rx,0,8,B2,8B,46,34,59,0C,80,20,
2323915,0000019F,false,Rx,0,8,00,00,7D,08,00,6A,90,FE,
2327912,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CB,
2328305,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2328784,00000157,false,Rx,0,8,D5,87,09,C4,FF,E0,BE,80,
2329008,000001A1,false,Rx,0,8,B2,4B,34,34,99,0C,80,20,
2333937,0000019F,false,Rx,0,8,00,00,7D,0D,00,6A,90,FE,
2337905,00000155,false,Rx,0,8,0A,87,F1,54,98,48,02,CA,
2338327,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
2338754,00000157,false,Rx,0,8,D5,D7,09,C4,FF,E0,BE,80,
